2021-04-14 07:28:53,512 | MainThread | INFO | push_app_api, push_app_api_v2 functions are not available
2021-04-14 07:28:53,519 | MainThread | INFO | Starting Tests for manifestfile: Nucleon/Nucleon.manifest.json appfile: Nucleon/Nucleon.json
2021-04-14 07:28:53,574 | MainThread | WARNING | These tests do not cover multiple metadata(_sourceCategories,_source etc). They may or may not be replaced
2021-04-14 07:28:53,574 | MainThread | DEBUG | test_all_params_replaced_in_dashboards (sumoapputils.common.testapp.TestClassicDashboardsV2) ... PASS
2021-04-14 07:28:53,576 | MainThread | DEBUG | test_folder_description (sumoapputils.common.testapp.TestClassicDashboardsV2) ... PASS
2021-04-14 07:28:53,593 | MainThread | INFO | ImageName: Nucleon.png Width: 72 Height: 72
2021-04-14 07:28:53,597 | MainThread | INFO | ImageName: Nucleon_Overview.png Width: 1911 Height: 1039
2021-04-14 07:28:53,601 | MainThread | INFO | ImageName: Nucleon_Threats_By_Source_Country_MAP.png Width: 1903 Height: 711
2021-04-14 07:28:53,602 | MainThread | DEBUG | test_folder_structure (sumoapputils.common.testapp.TestClassicDashboardsV2) ... PASS
2021-04-14 07:28:53,603 | MainThread | DEBUG | test_has_app_description (sumoapputils.common.testapp.TestClassicDashboardsV2) ... PASS
2021-04-14 07:28:53,605 | MainThread | DEBUG | test_has_category (sumoapputils.common.testapp.TestClassicDashboardsV2) ... PASS
2021-04-14 07:28:53,606 | MainThread | DEBUG | test_has_community_url (sumoapputils.common.testapp.TestClassicDashboardsV2) ... PASS
2021-04-14 07:28:53,607 | MainThread | DEBUG | test_has_dashboard_description (sumoapputils.common.testapp.TestClassicDashboardsV2) ... PASS
2021-04-14 07:28:53,980 | MainThread | DEBUG | test_has_helpdoc_url (sumoapputils.common.testapp.TestClassicDashboardsV2) ... PASS
2021-04-14 07:28:53,981 | MainThread | DEBUG | test_has_lookup_operator_from_external_files (sumoapputils.common.testapp.TestClassicDashboardsV2) ... PASS
2021-04-14 07:28:53,983 | MainThread | DEBUG | test_has_save_operator (sumoapputils.common.testapp.TestClassicDashboardsV2) ... PASS
2021-04-14 07:28:53,984 | MainThread | DEBUG | test_has_scheduled_searches (sumoapputils.common.testapp.TestClassicDashboardsV2) ... PASS
2021-04-14 07:28:53,984 | MainThread | DEBUG | test_has_valid_dashboard_title (sumoapputils.common.testapp.TestClassicDashboardsV2) ... PASS
2021-04-14 07:28:54,630 | MainThread | DEBUG | test_has_valid_icon (sumoapputils.common.testapp.TestClassicDashboardsV2) ... PASS
2021-04-14 07:28:54,631 | MainThread | DEBUG | test_not_using_default_lookup (sumoapputils.common.testapp.TestClassicDashboardsV2) ... PASS
2021-04-14 07:28:54,632 | MainThread | DEBUG | test_valid_timerange (sumoapputils.common.testapp.TestClassicDashboardsV2) ... PASS
2021-04-14 07:28:54,633 | MainThread | DEBUG | test_version_preview_consistent (sumoapputils.common.testapp.TestClassicDashboardsV2) ... PASS
2021-04-14 07:28:54,634 | MainThread | INFO | Ran 16 tests in 1.061s

2021-04-14 07:28:54,635 | MainThread | INFO | APPNAME: Nucleon | TOTAL TESTCASES: 16 | RESULT: ALL TESTS PASSED
2021-04-14 07:28:54,636 | MainThread | INFO | ==================================================================================================================================

